kode,jml,peminat,lat,lng,polygons,colors
SMP1,160,439,-7.2572992407932,112.74767637971,"[[112.74244503,  -7.25140656], [112.74167159,  -7.25922633], [112.74141703,  -7.26593899], [112.74595166,  -7.26570624], [112.75775089,  -7.25672337], [112.75688272,  -7.25462529]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP2,160,403,-7.24264,112.736109,"[[112.73371424,  -7.23870526], [112.72485897,  -7.24419716], [112.72488153,  -7.24431008], [112.74121976,  -7.24818362], [112.74121354,  -7.23760488]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP3,128,474,-7.2561602421072,112.73616067113,"[[112.74244503,  -7.25140656], [112.74167159,  -7.25922633], [112.73211595,  -7.25464533], [112.74213983,  -7.25088187]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP4,112,532,-7.25685,112.73583,"[[112.74167159,  -7.25922633], [112.74141703,  -7.26593899], [112.73857626,  -7.2680556 ], [112.72530755,  -7.26590413], [112.7233807 ,  -7.25706756], [112.73211595,  -7.25464533]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP5,128,707,-7.2348112851923,112.73125374967,"[[112.7322354 ,  -7.22918393], [112.71564306,  -7.23114325], [112.72485897,  -7.24419716], [112.73371424,  -7.23870526]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP6,160,803,-7.2738924742811,112.74852806134,"[[112.76476328,  -7.280502  ], [112.76432988,  -7.28142501], [112.74881017,  -7.2862801 ], [112.74277326,  -7.28526135], [112.73857626,  -7.2680556 ], [112.74141703,  -7.26593899], [112.74595166,  -7.26570624]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP7,128,488,-7.22394,112.72997,"[[112.73710214,  -7.22686694], [112.7363148 ,  -7.20338384], [112.71539584,  -7.16282658], [112.69442933,  -7.2163879 ], [112.71564306,  -7.23114325], [112.7322354 ,  -7.22918393]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP8,96,344,-7.242634,112.746324,"[[112.74174359,  -7.23688137], [112.74760887,  -7.23666224], [112.74901628,  -7.24486307], [112.74185003,  -7.24911724], [112.74121976,  -7.24818362], [112.74121354,  -7.23760488]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP9,144,1024,-7.2500122396392,112.76528668221,"[[112.75688272,  -7.25462529], [112.75775089,  -7.25672337], [112.76990192,  -7.26476895], [112.77896442,  -7.25128814], [112.77618942,  -7.24155686], [112.77268707,  -7.23918336], [112.76233166,  -7.23832999], [112.75778842,  -7.24640097]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP10,144,1142,-7.2778193,112.7324299,"[[112.74277326,  -7.28526135], [112.73857626,  -7.2680556 ], [112.72530755,  -7.26590413], [112.71844669,  -7.2748068 ], [112.71891794,  -7.27665464], [112.73001232,  -7.29260678], [112.73058247,  -7.29257992]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP11,128,765,-7.2234688568202,112.74402221469,"[[112.73710214,  -7.22686694], [112.7363148 ,  -7.20338384], [112.7553527 ,  -7.22154025], [112.75580492,  -7.22408173], [112.75575285,  -7.22439708], [112.73915276,  -7.22860652]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP12,160,793,-7.2978891389302,112.74447854323,"[[112.74822353,  -7.30982519], [112.74514663,  -7.30944695], [112.73058247,  -7.29257992], [112.74277326,  -7.28526135], [112.74881017,  -7.2862801 ], [112.75104436,  -7.30592516]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP13,144,425,-7.320498838831,112.7416991374,"[[112.72747167,  -7.32503794], [112.72769917,  -7.31972148], [112.74514663,  -7.30944695], [112.74822353,  -7.30982519], [112.75245312,  -7.31724205], [112.75298835,  -7.32841305], [112.74395402,  -7.33281513], [112.73104767,  -7.33121517], [112.72794384,  -7.32647771]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP14,144,371,-7.2374945205231,112.60871546858,"[[-102.56428062, -114.28414373], [112.58243521,  -7.30075658], [112.63926572,  -7.22218726], [-28.82349972, 186.998925  ]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP15,192,587,-7.2262618477385,112.77560927029,"[[112.77093811,  -7.22310542], [112.7833987 ,  -7.20674135], [112.78143535,  -7.21944482], [112.77276772,  -7.23815576]]","[58.6004535, 76.17308133, 192.189204015, 0.9]"
SMP16,160,399,-7.3240459401773,112.70657011409,"[[112.69844242,  -7.31463   ], [112.70002722,  -7.30777297], [112.70071677,  -7.30756752], [112.71201392,  -7.32450129], [112.70656023,  -7.3308916 ], [112.7020712 ,  -7.33308193]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP17,160,397,-7.319455794322,112.76346921231,"[[112.77085499,  -7.31210792], [112.7705879 ,  -7.32062741], [112.76077459,  -7.33225225], [112.75298835,  -7.32841305], [112.75245312,  -7.31724205]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP18,112,350,-7.24299,112.789912,"[[112.78350708,  -7.23662168], [112.77618942,  -7.24155686], [112.77896442,  -7.25128814], [112.88296206,  -7.27465933], [113.16485825,  -7.27370275], [353.14447308,   4.69872069], [341.24323795,  67.19257842]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP19,192,556,-7.2887726379336,112.78021851653,"[[112.76476328,  -7.280502  ], [112.76432988,  -7.28142501], [112.76971286,  -7.29828627], [112.78852079,  -7.29604216], [112.81366549,  -7.28234003], [112.77071643,  -7.2736985 ]]","[58.6004535, 76.17308133, 192.189204015, 0.9]"
SMP20,160,451,-7.269899,112.653089,"[[112.66222342,  -7.26507706], [112.66733729,  -7.28677252], [112.64542316,  -7.29344317], [112.62265503,  -7.29138286], [112.64506796,  -7.26108368]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP21,176,410,-7.31930001681894,112.71368398088,"[[112.72747167,  -7.32503794], [112.72769917,  -7.31972148], [112.71861861,  -7.30474007], [112.70658159,  -7.30407913], [112.70071677,  -7.30756752], [112.71201392,  -7.32450129]]","[100.480627924, 133.215430736, 235.85365469799999, 0.9]"
SMP22,176,329,-7.3367010012933,112.71696934722,"[[112.72794384,  -7.32647771], [112.73104767,  -7.33121517], [112.67641346,  -7.48980254], [112.68777868,  -7.41919145], [112.71534785,  -7.33314567]]","[100.480627924, 133.215430736, 235.85365469799999, 0.9]"
SMP23,144,458,-7.319904,112.777766,"[[112.77204238,  -7.31013638], [112.78429746,  -7.31376593], [112.79494561,  -7.32393575], [112.78634086,  -7.3307094 ], [112.7705879 ,  -7.32062741], [112.77085499,  -7.31210792]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP24,144,392,-7.3264224958088,112.69448560846,"[[112.69844242,  -7.31463   ], [112.7020712 ,  -7.33308193], [112.69790154,  -7.34148286], [112.68890195,  -7.32694206], [112.69044645,  -7.32329878]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP25,160,1133,-7.2620525709707,112.71197096197,"[[112.7233807 ,  -7.25706756], [112.72530755,  -7.26590413], [112.71844669,  -7.2748068 ], [112.704546  ,  -7.27206574], [112.70413553,  -7.25344998], [112.72274848,  -7.25581588]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP26,160,587,-7.2526766322641,112.6614942467,"[[112.68240119,  -7.24553784], [112.66404879,  -7.26159574], [112.64584607,  -7.23755161], [112.64427613,  -7.22467707], [112.68512812,  -7.22595183], [112.6858756 ,  -7.23294911]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP27,128,574,-7.2101311200891,112.75674238623,"[[112.71539584,  -7.16282658], [112.7363148 ,  -7.20338384], [112.7553527 ,  -7.22154025], [112.79650794,  -7.17773411], [239.90047177, 196.7294429 ], [144.10648677, 231.05588357]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP28,160,403,-7.308723,112.664907,"[[112.6753793 ,  -7.31530606], [112.68198237,  -7.30179604], [112.67405504,  -7.28795522], [112.66733729,  -7.28677252], [112.64542316,  -7.29344317], [112.66579852,  -7.32902853], [112.6666031 ,  -7.32829205]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP29,128,895,-7.2662812418961,112.75451446627,"[[112.76476328,  -7.280502  ], [112.74595166,  -7.26570624], [112.75775089,  -7.25672337], [112.76990192,  -7.26476895], [112.77071643,  -7.2736985 ]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP30,160,474,-7.3069594442807,112.79012907416,"[[112.78429746,  -7.31376593], [112.79494561,  -7.32393575], [113.16485825,  -7.27370275], [112.88296206,  -7.27465933], [112.81366549,  -7.28234003], [112.78852079,  -7.29604216]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP31,128,797,-7.219442,112.766653,"[[112.75580492,  -7.22408173], [112.7553527 ,  -7.22154025], [112.79650794,  -7.17773411], [112.7833987 ,  -7.20674135], [112.77093811,  -7.22310542]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP32,160,616,-7.3071014279776,112.73380961227,"[[112.74514663,  -7.30944695], [112.72769917,  -7.31972148], [112.71861861,  -7.30474007], [112.73001232,  -7.29260678], [112.73058247,  -7.29257992]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP33,112,349,-7.290572608176,112.69659693006,"[[112.70002722,  -7.30777297], [112.68198237,  -7.30179604], [112.67405504,  -7.28795522], [112.68614344,  -7.27644758], [112.69575961,  -7.27647828], [112.70613878,  -7.29427673], [112.70658159,  -7.30407913], [112.70071677,  -7.30756752]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP34,144,313,-7.3195245843107,112.68700728371,"[[112.69844242,  -7.31463   ], [112.70002722,  -7.30777297], [112.68198237,  -7.30179604], [112.6753793 ,  -7.31530606], [112.69044645,  -7.32329878]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP35,160,525,-7.3274485610578,112.77293743684,"[[112.7705879 ,  -7.32062741], [112.78634086,  -7.3307094 ], [112.77366646,  -7.35034289], [112.76077459,  -7.33225225]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP36,144,422,-7.3298058570294,112.71331924785,"[[112.72747167,  -7.32503794], [112.71201392,  -7.32450129], [112.70656023,  -7.3308916 ], [112.71534785,  -7.33314567], [112.72794384,  -7.32647771]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP37,112,592,-7.248294,112.749684,"[[112.74244503,  -7.25140656], [112.75688272,  -7.25462529], [112.75778842,  -7.24640097], [112.74901628,  -7.24486307], [112.74185003,  -7.24911724], [112.74213983,  -7.25088187]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP38,96,478,-7.2342484182952,112.73487769081,"[[112.73710214,  -7.22686694], [112.73915276,  -7.22860652], [112.74174359,  -7.23688137], [112.74121354,  -7.23760488], [112.73371424,  -7.23870526], [112.7322354 ,  -7.22918393]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP39,144,459,-7.309645,112.760732,"[[112.77204238,  -7.31013638], [112.76959009,  -7.29867204], [112.75104436,  -7.30592516], [112.74822353,  -7.30982519], [112.75245312,  -7.31724205], [112.77085499,  -7.31210792]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP40,160,321,-7.317981,112.648738,"[[-102.56428062, -114.28414373], [  29.50240571, -232.75618872], [112.66579852,  -7.32902853], [112.64542316,  -7.29344317], [112.62265503,  -7.29138286], [112.58243521,  -7.30075658]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP41,112,606,-7.2418639,112.7508113,"[[112.75708127,  -7.23244086], [112.76233166,  -7.23832999], [112.75778842,  -7.24640097], [112.74901628,  -7.24486307], [112.74760887,  -7.23666224]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP42,128,903,-7.24708120904981,112.713873976844,"[[112.72485897,  -7.24419716], [112.71564306,  -7.23114325], [112.69442933,  -7.2163879 ], [112.68512812,  -7.22595183], [112.6858756 ,  -7.23294911], [112.70413553,  -7.25344998], [112.72274848,  -7.25581588], [112.72488153,  -7.24431008]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP43,112,659,-7.2508428050767,112.73416424208,"[[112.74213983,  -7.25088187], [112.73211595,  -7.25464533], [112.7233807 ,  -7.25706756], [112.72274848,  -7.25581588], [112.72488153,  -7.24431008], [112.74121976,  -7.24818362], [112.74185003,  -7.24911724]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP44,96,607,-7.230803,112.745882,"[[112.73915276,  -7.22860652], [112.75575285,  -7.22439708], [112.75708127,  -7.23244086], [112.74760887,  -7.23666224], [112.74174359,  -7.23688137]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP45,128,475,-7.2634723166697,112.78530904663,"[[112.77071643,  -7.2736985 ], [112.81366549,  -7.28234003], [112.88296206,  -7.27465933], [112.77896442,  -7.25128814], [112.76990192,  -7.26476895]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP46,112,1004,-7.2897273700638,112.71530778895,"[[112.71861861,  -7.30474007], [112.73001232,  -7.29260678], [112.71891794,  -7.27665464], [112.70613878,  -7.29427673], [112.70658159,  -7.30407913]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP47,112,516,-7.2653118667763,112.67254976935,"[[112.68614344,  -7.27644758], [112.67405504,  -7.28795522], [112.66733729,  -7.28677252], [112.66222342,  -7.26507706], [112.66404879,  -7.26159574], [112.68240119,  -7.24553784]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP48,128,608,-7.29662,112.755638,"[[112.76959009,  -7.29867204], [112.76971286,  -7.29828627], [112.76432988,  -7.28142501], [112.74881017,  -7.2862801 ], [112.75104436,  -7.30592516]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP49,128,267,-7.342181,112.752264,"[[112.75298835,  -7.32841305], [112.74395402,  -7.33281513], [112.77646929,  -7.54943386], [112.77366646,  -7.35034289], [112.76077459,  -7.33225225]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP50,112,591,-7.26238957594551,112.696686902189,"[[112.69575961,  -7.27647828], [112.704546  ,  -7.27206574], [112.70413553,  -7.25344998], [112.6858756 ,  -7.23294911], [112.68240119,  -7.24553784], [112.68614344,  -7.27644758]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP51,99,159,-7.3317076731294,112.6859462576,"[[  29.50240571, -232.75618872], [  57.33473195, -241.30779317], [112.67641346,  -7.48980254], [112.68777868,  -7.41919145], [112.69790154,  -7.34148286], [112.68890195,  -7.32694206], [112.6666031 ,  -7.32829205], [112.66579852,  -7.32902853]]","[240.14062210499998, 139.33543664, 109.575302945, 0.9]"
SMP52,96,456,-7.305061,112.782162,"[[112.77204238,  -7.31013638], [112.78429746,  -7.31376593], [112.78852079,  -7.29604216], [112.76971286,  -7.29828627], [112.76959009,  -7.29867204]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP53,112,711,-7.2559938210463,112.63429112136,"[[112.64506796,  -7.26108368], [112.62265503,  -7.29138286], [112.58243521,  -7.30075658], [112.63926572,  -7.22218726], [112.64427613,  -7.22467707], [112.64584607,  -7.23755161]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP54,144,430,-7.2277026334216,112.78493157539,"[[112.79650794,  -7.17773411], [112.7833987 ,  -7.20674135], [112.78143535,  -7.21944482], [112.78350708,  -7.23662168], [341.24323795,  67.19257842], [239.90047177, 196.7294429 ]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP55,96,247,-7.3350966794821,112.71196211905,"[[112.7020712 ,  -7.33308193], [112.70656023,  -7.3308916 ], [112.71534785,  -7.33314567], [112.68777868,  -7.41919145], [112.69790154,  -7.34148286]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP56,96,885,-7.284148,112.707614,"[[112.69575961,  -7.27647828], [112.70613878,  -7.29427673], [112.71891794,  -7.27665464], [112.71844669,  -7.2748068 ], [112.704546  ,  -7.27206574]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP57,112,231,-7.344208,112.73876,"[[  57.33473195, -241.30779317], [ 124.01837532, -247.56437924], [112.77646929,  -7.54943386], [112.74395402,  -7.33281513], [112.73104767,  -7.33121517], [112.67641346,  -7.48980254]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP58,96,923,-7.227289086523,112.767159249,"[[112.75575285,  -7.22439708], [112.75580492,  -7.22408173], [112.77093811,  -7.22310542], [112.77276772,  -7.23815576], [112.77268707,  -7.23918336], [112.76233166,  -7.23832999], [112.75708127,  -7.23244086]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP59,96,287,-7.3225678267105,112.68539292509,"[[112.69044645,  -7.32329878], [112.6753793 ,  -7.31530606], [112.6666031 ,  -7.32829205], [112.68890195,  -7.32694206]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP60,160,546,-7.2282971,112.7800028,"[[112.77268707,  -7.23918336], [112.77618942,  -7.24155686], [112.78350708,  -7.23662168], [112.78143535,  -7.21944482], [112.77276772,  -7.23815576]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP61,96,683,-7.2567168495673,112.65615749049,"[[112.66222342,  -7.26507706], [112.64506796,  -7.26108368], [112.64584607,  -7.23755161], [112.66404879,  -7.26159574]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP62,96,216,-7.3415817415616,112.79483067644,"[[ 124.01837532, -247.56437924], [353.14447308,   4.69872069], [113.16485825,  -7.27370275], [112.79494561,  -7.32393575], [112.78634086,  -7.3307094 ], [112.77366646,  -7.35034289], [112.77646929,  -7.54943386]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP63,73,78,-7.1978054943672,112.6632064633,"[[112.63926572,  -7.22218726], [112.64427613,  -7.22467707], [112.68512812,  -7.22595183], [112.69442933,  -7.2163879 ], [112.71539584,  -7.16282658], [144.10648677, 231.05588357], [-28.82349972, 186.998925  ]]","[179.94665529, 3.9668208, 38.30936706, 0.9]"
